type,date,num1,num2,num3,num4,num5,num6,download_time
Mega Millions,2005-05-17,10,29,7,44,9,17,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-05-20,40,3,27,44,6,9,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-05-24,45,39,28,40,9,24,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-05-27,17,7,34,50,22,24,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-05-31,5,13,38,22,37,11,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-06-03,47,28,6,4,14,42,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-06-07,7,14,46,47,28,25,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-06-10,29,50,14,37,31,34,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-06-14,29,10,48,49,1,36,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-06-17,40,50,35,16,49,34,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-06-21,46,13,40,50,9,30,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-06-24,44,14,56,43,50,7,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-06-28,37,43,46,2,20,4,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-07-01,42,41,50,14,25,40,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-07-05,50,38,55,22,48,29,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-07-08,45,23,50,9,48,3,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-07-12,32,39,17,53,5,36,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-07-15,25,13,48,36,9,2,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-07-19,13,54,7,48,51,11,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-07-22,35,54,27,7,18,34,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-07-26,29,55,1,18,10,8,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-07-29,4,16,25,23,40,22,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-08-02,50,22,39,17,52,46,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-08-05,5,53,48,50,3,4,"2024-11-16, 11:54:38 PM CST"
